_id_fr,model_utac,commercial_name,ntic,hybrid,power_admin,power_max_kw,transmission,cons_urb_l100km,cons_extraurb_l100km,cons_mix_l100km,co2_g_km,co_g_km,hc_g_km,nox_g_km,hc_nox_g_km,pm_g_km,kerb_weight_min_kg,mkerb_weight_max_kg,champ_v9,date_maj,fuel_display_name,fuel_grp,segment_grp,segment_ord,body_type_display_name,body_type_grp,tvv_clean,e (g/km),m (kg),w (mm),at1 (mm),at2 (mm),ec (cm3),ep (KW),z (Wh/km),tvv_composite,_merge,brand_group,kw_comp,co2_comp,kg_comp,fuel_comp,fuel_agree,tvv_comp,model_comp,kw_delta,co2_delta,kg_delta,tv_comp,fuel_comp_display,fuel_comp_grp,kw_comp_imputed,co2_comp_imputed,nox_comps,nox_comps_imputed,co_comps,co_comps_imputed,match_steps,r_merged,n_eu_records,n_fr_configs
3995.0,B 220,B 220 CDI BVA7,M10MCDVPBR18440,non,9.0,125.0,A 7,5.5,3.9,4.5,117.0,0.158,,0.065,0.086,0.001,1505.0,1505.0,715/2007*459/2012EURO6,juin-13,Diesel,Diesel,Lower-Medium,2,Minivan / MPV,Van / MPV,246M2S2P2MZAAB502,117.0,1505.0,2699.0,1555.0,1556.0,2143.0,125.0,,246M2S2P2MZAAB502,both,MERCEDES-BENZ,125,117,1505,GO,True,246M2S2P2MZAAB502,CLASSE B,0,0,0,246M2S2P2,Diesel,Diesel,False,False,0.065,False,0.158,False,Step 1: Exact TVV (T+Va+Ve),74.0,10,4
4001.0,B 220,B 220 CDI BVA7,M10MCDVPBR1B443,non,9.0,125.0,A 7,5.6,4.0,4.6,120.0,0.158,,0.065,0.086,0.001,1505.0,1505.0,715/2007*459/2012EURO6,juin-13,Diesel,Diesel,Lower-Medium,2,Minivan / MPV,Van / MPV,246M2S2P2MZAAB523,120.0,1505.0,2699.0,1551.0,1552.0,2143.0,125.0,,246M2S2P2MZAAB523,both,MERCEDES-BENZ,125,120,1505,GO,True,246M2S2P2MZAAB523,CLASSE B,0,0,0,246M2S2P2,Diesel,Diesel,False,False,0.065,False,0.158,False,Step 1: Exact TVV (T+Va+Ve),275.0,6,2
4005.0,B 250,B 250 BVA7,M10MCDVPP177287,non,12.0,155.0,A 7,8.6,4.7,6.2,145.0,0.145,0.031,0.04,,0.0,1475.0,1475.0,715/2007*566/2011EURO5,juin-13,Petrol,Petrol,Lower-Medium,2,Minivan / MPV,Van / MPV,246M24KM2MZAAB502,145.0,1475.0,2699.0,1555.0,1556.0,1991.0,155.0,,246M24KM2MZAAB502,both,MERCEDES-BENZ,155,145,1475,ES,True,246M24KM2MZAAB502,CLASSE B,0,0,0,246M24KM2,Petrol,Petrol,False,False,0.04,False,0.145,False,Step 1: Exact TVV (T+Va+Ve),17.0,13,4
4016.0,B 250,B 250 BVA7,M10MCDVPBR1X429,non,12.0,155.0,A 7,8.8,4.9,6.3,147.0,0.296,0.034,0.029,,0.001,1475.0,1475.0,715/2007*630/2012EURO6,juin-13,Petrol,Petrol,Lower-Medium,2,Minivan / MPV,Van / MPV,246M24KP2MZAAB503,143.0,1475.0,2699.0,1555.0,1556.0,1991.0,155.0,,246M24KP2MZAAB503,both,MERCEDES-BENZ,155,147,1475,ES,True,246M24KP2MZAAB503,CLASSE B,0,4,0,246M24KP2,Petrol,Petrol,False,False,0.029,False,0.296,False,Step 1: Exact TVV (T+Va+Ve),26.000000000000004,9,3
4019.0,C 180,C 180 BERLINE BVM6,M10MCDVPR065019,non,8.0,115.0,M 6,7.7,4.7,5.8,136.0,0.127,0.064,0.031,,0.0,1470.0,1470.0,715/2007*459/2012EURO6,juin-13,Petrol,Petrol,Premium,4,Sedan / Hatchback,Sedan / Hatchback,204H031P0JZAAA500,136.0,1470.0,2760.0,1569.0,1552.0,1595.0,115.0,,204H031P0JZAAA500,both,MERCEDES-BENZ,115,136,1470,ES,True,204H031P0JZAAA500,CLASSE C,0,0,0,204H031P0,Petrol,Petrol,False,False,0.031,False,0.127,False,Step 1: Exact TVV (T+Va+Ve),7.0,4,2
4021.0,C 180,C 180 BERLINE BVM6,M10MCDVPR066020,non,8.0,115.0,M 6,7.8,4.8,5.9,138.0,0.127,0.064,0.031,,0.0,1470.0,1470.0,715/2007*459/2012EURO6,juin-13,Petrol,Petrol,Premium,4,Sedan / Hatchback,Sedan / Hatchback,204H031P0JZAAA501,138.0,1470.0,2760.0,1569.0,1552.0,1595.0,115.0,,204H031P0JZAAA501,both,MERCEDES-BENZ,115,138,1470,ES,True,204H031P0JZAAA501,CLASSE C,0,0,0,204H031P0,Petrol,Petrol,False,False,0.031,False,0.127,False,Step 1: Exact TVV (T+Va+Ve),1.0,2,2
4025.0,C 180,C 180 BERLINE BVM6,M10MCDVPR068022,non,9.0,115.0,M 6,7.9,5.0,6.1,142.0,0.127,0.064,0.031,,0.0,1470.0,1470.0,715/2007*459/2012EURO6,juin-13,Petrol,Petrol,Premium,4,Sedan / Hatchback,Sedan / Hatchback,204H031P0JZAAA503,142.0,1470.0,2760.0,1569.0,1552.0,1595.0,115.0,,204H031P0JZAAA503,both,MERCEDES-BENZ,115,142,1470,ES,True,204H031P0JZAAA503,CLASSE C,0,0,0,204H031P0,Petrol,Petrol,False,False,0.031,False,0.127,False,Step 1: Exact TVV (T+Va+Ve),8.0,6,2
4063.0,C 180,C 180 BERLINE BVA7,M10MCDVPR06R041,non,8.0,115.0,A 7,7.7,4.8,5.8,136.0,0.151,0.051,0.019,,0.0,1485.0,1485.0,715/2007*459/2012EURO6,juin-13,Petrol,Petrol,Premium,4,Sedan / Hatchback,Sedan / Hatchback,204H031P0NZABA500,136.0,1485.0,2760.0,1569.0,1552.0,1595.0,115.0,,204H031P0NZABA500,both,MERCEDES-BENZ,115,136,1485,ES,True,204H031P0NZABA500,CLASSE C,0,0,0,204H031P0,Petrol,Petrol,False,False,0.019,False,0.151,False,Step 1: Exact TVV (T+Va+Ve),7.0,4,2
4065.0,C 180,C 180 BERLINE BVA7,M10MCDVPR06S042,non,8.0,115.0,A 7,7.7,4.9,5.9,138.0,0.151,0.051,0.019,,0.0,1485.0,1485.0,715/2007*459/2012EURO6,juin-13,Petrol,Petrol,Premium,4,Sedan / Hatchback,Sedan / Hatchback,204H031P0NZABA501,138.0,1485.0,2760.0,1569.0,1552.0,1595.0,115.0,,204H031P0NZABA501,both,MERCEDES-BENZ,115,138,1485,ES,True,204H031P0NZABA501,CLASSE C,0,0,0,204H031P0,Petrol,Petrol,False,False,0.019,False,0.151,False,Step 1: Exact TVV (T+Va+Ve),6.0,4,2
4069.0,C 180,C 180 BERLINE BVA7,M10MCDVPR06U044,non,9.0,115.0,A 7,7.9,5.1,6.1,142.0,0.151,0.051,0.019,,0.0,1485.0,1485.0,715/2007*459/2012EURO6,juin-13,Petrol,Petrol,Premium,4,Sedan / Hatchback,Sedan / Hatchback,204H031P0NZABA503,142.0,1485.0,2760.0,1569.0,1552.0,1595.0,115.0,,204H031P0NZABA503,both,MERCEDES-BENZ,115,142,1485,ES,True,204H031P0NZABA503,CLASSE C,0,0,0,204H031P0,Petrol,Petrol,False,False,0.019,False,0.151,False,Step 1: Exact TVV (T+Va+Ve),3.0,2,2
